Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 89.6998466485695, time: 2533.32
steps: 49975, episodes: 2000, mean episode reward: 53.034475965598844, time: 3625.01
steps: 74975, episodes: 3000, mean episode reward: 50.50882609742678, time: 3624.975
steps: 99975, episodes: 4000, mean episode reward: 60.46633138562535, time: 3630.697
steps: 124975, episodes: 5000, mean episode reward: 60.181074460167174, time: 3145.429
steps: 149975, episodes: 6000, mean episode reward: 64.37932860406849, time: 1208.695
steps: 174975, episodes: 7000, mean episode reward: 64.81173354107436, time: 1508.537
steps: 199975, episodes: 8000, mean episode reward: 67.57031072448963, time: 1509.459
steps: 224975, episodes: 9000, mean episode reward: 65.33727160427202, time: 1512.87
steps: 249975, episodes: 10000, mean episode reward: 67.53105347834685, time: 1655.792
steps: 274975, episodes: 11000, mean episode reward: 67.35903267463593, time: 1512.859
steps: 299975, episodes: 12000, mean episode reward: 64.69288163331998, time: 1506.333
steps: 324975, episodes: 13000, mean episode reward: 63.35952626168837, time: 1510.909
steps: 349975, episodes: 14000, mean episode reward: 65.98790668283068, time: 1507.744
steps: 374975, episodes: 15000, mean episode reward: 66.29421009925534, time: 1809.563
steps: 399975, episodes: 16000, mean episode reward: 67.39212509859306, time: 1852.599
steps: 424975, episodes: 17000, mean episode reward: 70.65827654834543, time: 1522.918
steps: 449975, episodes: 18000, mean episode reward: 72.57786308219866, time: 1517.856
steps: 474975, episodes: 19000, mean episode reward: 70.67102237830633, time: 1907.581
steps: 499975, episodes: 20000, mean episode reward: 68.79994944243855, time: 1961.369
steps: 524975, episodes: 21000, mean episode reward: 71.30558847414568, time: 1884.538
steps: 549975, episodes: 22000, mean episode reward: 71.18798360381732, time: 1498.156
steps: 574975, episodes: 23000, mean episode reward: 71.54566263387106, time: 1500.172
steps: 599975, episodes: 24000, mean episode reward: 73.12190803073376, time: 1494.067
steps: 624975, episodes: 25000, mean episode reward: 73.25242946453791, time: 1497.083
steps: 649975, episodes: 26000, mean episode reward: 73.2341505977665, time: 1493.155
steps: 674975, episodes: 27000, mean episode reward: 74.08278483954578, time: 1499.375
steps: 699975, episodes: 28000, mean episode reward: 75.20840072549326, time: 1498.695
steps: 724975, episodes: 29000, mean episode reward: 75.85065198300536, time: 1492.42
steps: 749975, episodes: 30000, mean episode reward: 74.68969306902919, time: 1497.727
steps: 774975, episodes: 31000, mean episode reward: 76.10197161763188, time: 1495.894
steps: 799975, episodes: 32000, mean episode reward: 76.95205896678806, time: 1499.929
steps: 824975, episodes: 33000, mean episode reward: 75.56906469041495, time: 1493.433
steps: 849975, episodes: 34000, mean episode reward: 74.7454779288228, time: 1501.897
steps: 874975, episodes: 35000, mean episode reward: 73.59892301385428, time: 1494.186
steps: 899975, episodes: 36000, mean episode reward: 72.74200232729389, time: 1497.584
steps: 924975, episodes: 37000, mean episode reward: 75.24256650132759, time: 1497.617
steps: 949975, episodes: 38000, mean episode reward: 70.73387825624145, time: 1494.86
steps: 974975, episodes: 39000, mean episode reward: 67.92063195869869, time: 1499.465
steps: 999975, episodes: 40000, mean episode reward: 68.51182180918768, time: 1048.19
steps: 1024975, episodes: 41000, mean episode reward: 68.30125824108214, time: 688.015
steps: 1049975, episodes: 42000, mean episode reward: 68.56842515945749, time: 686.087
steps: 1074975, episodes: 43000, mean episode reward: 66.38765393961005, time: 686.544
steps: 1099975, episodes: 44000, mean episode reward: 67.21762082062442, time: 686.963
steps: 1124975, episodes: 45000, mean episode reward: 66.14139947048275, time: 683.592
steps: 1149975, episodes: 46000, mean episode reward: 68.22940530382539, time: 689.221
steps: 1174975, episodes: 47000, mean episode reward: 67.6469842412248, time: 686.809
steps: 1199975, episodes: 48000, mean episode reward: 66.75469695325036, time: 679.812
steps: 1224975, episodes: 49000, mean episode reward: 68.06132932149231, time: 690.93
steps: 1249975, episodes: 50000, mean episode reward: 70.4568302640825, time: 682.869
steps: 1274975, episodes: 51000, mean episode reward: 69.49274615871506, time: 685.98
steps: 1299975, episodes: 52000, mean episode reward: 68.38183370130609, time: 686.22
steps: 1324975, episodes: 53000, mean episode reward: 72.93499329224116, time: 686.498
steps: 1349975, episodes: 54000, mean episode reward: 70.61987179421422, time: 689.355
steps: 1374975, episodes: 55000, mean episode reward: 73.63257356033631, time: 688.437
steps: 1399975, episodes: 56000, mean episode reward: 75.51645132113018, time: 690.596
steps: 1424975, episodes: 57000, mean episode reward: 72.14665464342222, time: 692.43
steps: 1449975, episodes: 58000, mean episode reward: 73.40970212088962, time: 690.003
steps: 1474975, episodes: 59000, mean episode reward: 74.81820347259746, time: 689.663
steps: 1499975, episodes: 60000, mean episode reward: 74.70584893952896, time: 688.962
...Finished total of 60001 episodes.
